"","Model","AUC","PRAUC","Recall","Precision","F1","Spec","Accuracy","Threshold"
"",bag_bigED,0.691,0.2275,0.5169,0.2183,0.3069,0.748,0.7203,0.562
"",bag_bigED_0.5co,0.691,0.2275,0.6309,0.1956,0.2986,0.6469,0.645,0.5
"",bag_EDCIHI,0.7643,0.2685,0.6145,0.2634,0.3687,0.766,0.7479,0.601
"",bag_EDCIHI_0.5co,0.7643,0.2685,0.7112,0.2442,0.3635,0.7003,0.7016,0.5
"",treebag_ED_upsample,0.6689,0.201,0.5188,0.1987,0.2874,0.7153,0.6917,0.281
"", bagging_down_EDbig_cv,0.6892,0.2284,0.518,0.2163,0.3052,0.7445,0.7174,0.564
"result",Fold1,0.687,0.6709,0.6284,0.6369,0.6326,0.6418,0.6351,0.5
"result",Fold2,0.6886,0.6715,0.6253,0.6388,0.632,0.6464,0.6359,0.5
"result",Fold3,0.6892,0.6704,0.6327,0.64,0.6363,0.644,0.6384,0.5
"result",Fold4,0.6874,0.6671,0.6312,0.6382,0.6347,0.6422,0.6367,0.5
"result",Fold5,0.6867,0.6667,0.63,0.6368,0.6334,0.6407,0.6353,0.5
