"","x"
"acutelos",0.0329594440309322
"main_PhysInj_1L",0.0307615630225175
"patserv_34",0.0236302907109686
"admambul",0.0213235325357601
"dementia_main",0.0190875673202522
"all_Cachx_3L",0.0144056813805396
"weightloss",0.0129077644552774
"cacsitcnt",0.0117555773617355
"main_MentBehav_1L",0.0108546969680088
"age_grp",0.0104972941896392
"frail_grp",0.00971229680009254
"flag_feeding_tb",0.0078749888131078
"patserv_12",0.00786713021806595
"patserv_38",0.00705376956417391
"main_Zfactors_1L",0.00673562645199944
"prv_orthop",0.00650373128524776
"dementia_comorb",0.0065023863333229
"patserv_17",0.00470372135521848
"cacsit1_grp3",0.00467955418672745
"patserv_15",0.00439705490777927
"main_MusclSkelt_1L",0.00379503056763974
"flag_tracheost",0.00371316580102784
"rural",0.00333439864521542
"triage",0.0029792209667321
"cacsitcnt1",0.00290194645357897
"patserv_72",0.00282610398149167
"patserv_39",0.00249813046520538
"flag_radiother",0.00227828334430496
"scu",0.00223748598090886
"flag_vasc_accdv",0.00202475801228038
"flag_mvent_ge96",0.00198136092040431
"female_flag",0.00192471207382556
"prv_grp",0.0011989024850284
"psychoses",0.00103766237257045
"readm_90d",0.00100270283948524
"flag_pa_nutrit",0.000947388461029008
"paralysis",0.000838693443482224
"patserv_36",0.000820902019097129
"patserv_64",0.000808238005941535
"flag_cardiovers",0.000803171967475046
"patserv_19",0.000788602673216925
"flag_intv",0.000765238934797118
"instability_q_da",0.000637295388422114
"btany",0.000620529361843284
"patserv_55",0.000590172258310531
"flag_heart_resu",0.000582402331101201
"glscoma_bin",0.000371686915716258
"diabetes_comp",0.000350356119572155
"cerebvsclr",0.000342059259562141
"cacspartition",0.000338396243735942
"patserv_35",0.000327648073193475
"flag_chemother",0.000273574715095904
"flag_mvent_lt96",0.000250202715910406
"flag_pleurocent",0.000218253591166186
"flag_cell_saver",0.000190588360907848
"flag_paracent",0.000182193683093528
"flag_dialysis",0.000143493280806274
"charl_index_grp",0.000121343646387617
"cacsanetech",8.26123554234638e-05
"prior_hosp_90d",5.37615214904216e-05
"clidecunitflag",9.24149466272056e-06
"prior_hosp_365d",6.45747136036855e-06
"X30day_ed_revisit",3.6833794927503e-06
"dependency_q_da",0
"ethniccon_q_da",0
"incquint",0
"time1_grp",0
"time2_grp",0
